53	60	61		50	55	58		10	45	46
62	65	72		57	59	61		20	56	57
42	47	56		35	40	54		36	37	49
38	51	52		48	51	53		17	54	57
65	65	71		23	58	65		25	35	40
48	56	57		45	50	61		25	51	52
65	79	89		23	26	66		45	50	70
49	70	81		20	25	61		48	51	72
43	64	77		13	26	50		43	46	56
53	65	71		35	40	72		34	57	60
45	61	62		48	54	57		23	38	47
55	65	66		55	58	60		22	32	58
60	61	62		33	43	53		38	39	50
41	47	50		46	50	52		31	37	58
54	57	60		52	57	64		27	34	41
50	52	61		43	49	60		27	43	53
48	70	90		31	51	66		50	55	58
51	52	64		24	52	54		57	59	61
59	62	65		47	51	56		45	50	52
42	45	51		27	56	60		48	51	53
56	58	59		25	41	61		43	46	48
51	54	61		38	37	62		35	40	45
65	69	99		45	47	49		20	36	88
50	70	97		27	38	41		38	39	75
46	64	88		43	45	47		17	34	75
54	55	68		23	42	44		30	32	65
