180	200	240	175	216	252	204	236	248
87	102	120		90	110	130		104	110 128
120	126	168		135	174	177		159	178	190
43	44	52		47	53	60		55	56	59   17
117	162	195		104	118	192		153	156	191
75	104	108		84	116	124		98	118	128
88	98	120		84	114	131		96	118	137
38	50	61		42	54	66		47	49	68
140	150	180	131	153	195	138	147	192
38	50	64		45	46	47		48	49	62
86	140	145		96	110	142		88	120	124
45	57	63		44	55	65		46	61	64
60	67	69		46	57	68		49	59	64
130	140	144		93	114	142		100	119	128
67	70	81		44	57	76		50	57	64
64	70	72		40	57	68		50	56	64
60	62	63		49	55	65		50	55	62
56	70	72		48	55	68		50	54	62
58	70	72		59	61	68		50	55	62
129	130	132		96	118	136		100	110	128
62	70	72		43	59	68		50	52	69
112	122	128		94	117	130		99	104	139
53	70	72		37	58	62		41	46	68
65	70	78		39	59	62		41	46	68
126	140	145		100	114	124		82	92	128
60	70	73		51	55	60		42	46	64
